name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
সৌমিত্র,0,0,0,2,0,0,17497,1.7497E+12,700
শাদা ঘোড়া,0,0,0,0,0,0,17498,1.7498E+12,140
ঐতিহ্যের উত্তরসাধক,0,0,0,0,0,0,17502,1.7502E+12,1050
অমরকোষ,0,0,0,0,0,0,17557,1.7557E+12,500
পুরুষ ও প্রকৃতি,0,0,0,0,0,0,17584,1.7584E+12,300
তোমাকে আমি ছুঁতে পারিনি,0,0,0,0,0,0,17613,1.7613E+12,450
আপনাদের সন্তান মানুষ হচ্ছে তো ?,0,1,0,0,0,0,17624,1.7624E+12,500
"মিশর : ধর্ম, বিশ্বাস, দেবদেবী",0,0,0,0,0,0,17642,1.7642E+12,400
চন্দ্রবংশের ধারায় মহারাজ শশাঙ্কের অনুসন্ধান,0,0,0,0,0,0,17644,1.7644E+12,300
বাংলা শিশু-কিশোর সাহিত্য পাঠের ভূমিকা,0,0,0,0,0,0,17657,1.7657E+12,600
গণিতের বিস্ময়কর জগৎ : ১ম খণ্ড,0,4,1,0,0,0,17704,1.7704E+12,200
ছোটদের রহস্য গল্প,0,0,0,0,0,0,17712,1.7712E+12,180
সুরম্য-কুরম্য,0,4,1,0,0,0,17714,1.7714E+12,180
রম্য রত্ন-সম্ভার,0,2,0,0,0,0,17738,1.7738E+12,180
হযরত মুহম্মদ (সাঃ) ও ভারতীয় ধর্মগ্রন্থ,0,1,1,0,0,0,17739,1.7739E+12,80
মধ্যযুগে বাংলার ইতিহাস (১২০৫-১৭৫৭খ্রি.) : তিন খণ্ড একত্রে,0,0,0,0,0,0,17740,1.774E+12,1500
গোপন মৃত্যু ও নবজীবন : প্রথম খণ্ড,0,2,1,0,0,0,17743,1.7743E+12,140
নামাজের অজানা রহস্য,0,2,1,0,0,0,17745,1.7745E+12,120
Consequences Of Capitalism : Manufacturing Discontent And Resistance,0,0,0,0,0,0,17754,1.7754E+12,1598
পজিটিভ সাইকোলজি,0,0,0,0,0,0,17789,1.7789E+12,300
গুড্ডুবুড়ার বিজয় দিবস,0,0,0,0,0,0,17796,1.7796E+12,85
বিশ্বে যা কিছু প্রথম : ২,0,0,0,1,0,0,17810,1.781E+12,300
যত দূর মনে পড়ে,0,0,0,0,0,0,17988,1.7988E+12,400
StamtKit Focus Challenge,0,1,3,0,0,0,60706,18000937,880
আন্তর্জাতিক অঙ্গনে শেখ হাসিনা,0,0,0,0,0,0,18033,1.8033E+12,450
বিদায় ফেলুদা,0,0,1,0,0,0,18041,1.8041E+12,1000
নিজের সঙ্গে নিজে,0,0,1,0,0,0,18046,1.8046E+12,500
